"","ServiceStationName","Address"
"1586","Shell Corowa","223 Sanger St, COROWA NSW 2646"
"1596","Coles Express Port Macquarie","Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444"
"1597","Independent Kew","149 Nancy Bird Walton Dr, Kew NSW 2439"
"1600","United Turvey Park","31 Bourke Street, TURVEY PARK NSW 2650"
"1601","7-Eleven Croydon Park","342 Georges River Road & Burwood Road, Croydon Park NSW 2133"
"1604","7-Eleven Croydon Park","45 Georges River Road, Croydon Park NSW 2133"
"1608","BP Kemps Creek","1443 Elizabeth Drive, Kemps Creek NSW 2178"
"1612","7-Eleven McGraths Hill","142 Windsor Rd, MCGRATHS HILL NSW 2756"
"1615","7-Eleven Liverpool","95 Elizabeth Drive (Corner Park Road), Liverpool NSW 2170"
"1618","Central Store Aberdeen","101 MacQueen St, ABERDEEN NSW 2336"
"1620","Budget Petrol St Helens Park","24 Wooland Rd, St Helens Park NSW 2560"
"1630","Caltex PoloFlat","2 Geebung St, POLO FLAT NSW 2630"
"1631","BOBBIN HEAD PETROL STATION","313 Bobbin Head Road, NORTH TURRAMURRA NSW 2074"
"1642","Metro Fuel Blacktown","140 Flushcombe Road, Blacktown NSW 2148"
"1644","BP Cabramatta West","90 Joseph St, Cabramatta West NSW 2166"
"1646","Caltex Woolworths Maitland","48 Denman Street (entrance via Ken Tubman Drive), Maitland NSW 2320"
"1649","Coles Express Greystanes","Merrylands Road & Braeside St, Greystanes NSW 2145"
"1662","Calvi Petrol Station","320 Lane Cove Road, North Ryde NSW 2113"
"1664","BP Aberdare","81 Aberdare Rd, ABERDARE NSW 2325"
"1665","BP Quirindi","4 Duke Street, QUIRINDI NSW 2343"
"1666","Coles Express Halfway Creek","4974 Pacific Highway (Cnr Lemon Tree Rd), Halfway Creek NSW 2460"
"1668","Coles Express Moree","Balo St & Gwydir St, Moree NSW 2400"
"1670","Coles Express Emerald Beach","1140-1140A Solitary Islands Way, Emerald Beach NSW 2456"
"1672","Independent Murrumbateman","22 East Street, Murrumbateman NSW 2582"
"1674","Shell Kurri Kurri","307 Lang Street, KURRI KURRI NSW 2327"
"1678","BP CLOVELLY","33-37 Carrington Rd, RANDWICK NSW 2031"
"1679","Coles Express Pymble","21 Ryde Rd, Pymble NSW 2073"
"1681","Coles Express Griffith","121 Banna Avenue, Griffith NSW 2680"
"1684","Coles Express Taree","59-63 Victoria Street, Taree NSW 2430"
"1687","BP Summer Hill","3 Carlton Cres, Summer Hill NSW 2130"
"1697","Snowy Valley Service Centre","5332 Kosciuszko Rd, EAST JINDABYNE NSW 2627"
"1701","BP Carlingford","712 Pennant Hills Road, Carlingford NSW 2118"
"1702","Independent Rylstone","88 Louee St, Rylstone NSW 2849"
"1706","BP Dural","582 Old Northern Road, Dural NSW 2158"
"1710","BP Mosman (0926)","Cnr Avenue & Cowles Roads, Mosman NSW 2088"
"1713","BP Eagle Vale","Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558"
"1721","BP Denistone East","295 Quarry Rd, Denistone East NSW 2112"
"1726","BP Canterbury","322 Canterbury Road, Canterbury NSW 2193"
"1730","BP Rosehill","Cnr Hassall & James Ruse Drive, Rosehill NSW 2142"
"1731","BP Mosman (9542)","175 Ourimbah Road, Mosman NSW 2088"
"1734","BP Jamisontown","126-130 Mulgoa Road, Penrith NSW 2750"
"1738","BP Glendenning","646 Richmond Rd, Glendenning NSW 2761"
"1741","Greenwell Point Service Centre","85 Greenwell Point Rd, GREENWELL POINT NSW 2540"
"1743","BP Caringbah","Cnr Captain Cook Dve & Cawarra Rd, Caringbah NSW 2229"
"1746","BP Cronulla","Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230"
"1750","BP South Moorebank","80 Heathcote Road, Moorebank NSW 2170"
"1751","BP Springwood","28 Great Western Highway, Valley Heights NSW 2777"
"1752","BP Crossroads","615-617 Hume Hwy, CASULA NSW 2170"
"1755","BP Ingleburn","Cnr Williamson & McDonald Road, INGLEBURN NSW 2565"
"1758","Speedway North St Marys","91 Glossop St, North St Marys NSW 2760"
"1760","BP West Ryde","1233 Victoria Road (Cnr Marsden Rd), West Ryde NSW 2114"
"1764","BP Rydalmere","Cnr Victora Rd & Clyde St, Rydalmere NSW 2116"
"1765","BP Woodcroft","Cnr Woodcroft Dr & Richmond Road, Doonside NSW 2767"
"1769","BP Camperdown","Cnr Parramatta & Missenden Roads, Camperdown NSW 2050"
"1770","Mobil Narrandera","74 Whitton St, NARRANDERA NSW 2700"
"1771","BP St Marys","76 Glossop Street, St Marys NSW 2760"
"1774","BP Rozelle","Cnr Victoria Rd & Evans St, Rozelle NSW 2039"
"1779","BP Berkeley Vale","1 Blade Close, Berkeley Vale NSW 2261"
"1781","BP Quakers Hill","45 Hambledon Road, Quakers Hill NSW 2763"
"1784","BP Rutherford","360 New England Hwy, Rutherford NSW 2320"
"1787","BP Valentine","855 Macquarie Drive, Valentine NSW 2280"
"1788","BP Tuggerah","100 Pacific Highway, Tuggerah NSW 2259"
"1790","BP St Peters (NSW)","2 Princes Highway, St Peters NSW 2044"
"1793","BP Penrith","Cnr Castlereagh & Coreen Ave, Penrith NSW 2750"
"1796","Mobil Nowra","215 Kinghorne St, NOWRA NSW 2541"
"1800","Metro Petroleum Morisset park","5 Macquarie Road, MORISSET PARK NSW 2264"
"1801","BP Grafton","58 Fitzroy Street, Grafton NSW 2460"
"1805","BP Nowra","Corner Princess Highway and Plunkett Street, NOWRA NSW 2541"
"1806","BP Dubbo West","51-63 Whylandra Street, Dubbo West NSW 2830"
"1807","BP Gumly Gumly","1 Tasman Road, GUMLY GUMLY NSW 2652"
"1809","BP South Grafton","1 Spring Street, SOUTH GRAFTON NSW 2460"
"1815","BP Orange (Bathurst Road)","56-60 Bathurst Road, Orange NSW 2800"
"1818","BP Mudgee","77 Church Street, Mudgee NSW 2850"
"1819","BP Tornik","2-8 Duncans Lane (Cnr Pacific Hwy), Grafton NSW 2460"
"1827","Metro Fuel Fairfield","130 Hamilton Road, Fairfield NSW 2165"
"1831","Caltex Woolworths","200-202 Pennant Hills Road, THORNLEIGH NSW 2120"
"1832","Coles Express Carlingford","286-288 Pennant Hills Rd (Cnr Adderton Rd), Carlingford NSW 2118"
"1838","Shell Tolland","229 Bourke St, TOLLAND NSW 2650"
"1839","Coles Express Maitland","233 High St (Cnr Smith St), Maitland NSW 2320"
"1842","Coles Express Orange","Summer St & Sale St, Orange NSW 2800"
"1844","Shell Bermagui","2 Bunga St, BERMAGUI NSW 2546"
"1849","DURI FUEL STATION","68 Duri Road, TAMWORTH NSW 2340"
"1853","Tanwar Petroleum","281 New Canterbury Rd, Lewisham NSW 2049"
"1854","Coles Express Eastern Creek","611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766"
"1858","Shell Morisset","608 Fishery Point Rd, Morisset NSW 2264"
"1859","Caltex Woolworths Shellharbour","New Lake Entrance Road (Shellharbour City Centre), Shellharbour NSW 2529"
"1860","Caltex Woolworths Lake Munmorah","Cnr Pacific Highway & Tall Timbers Road, Lake Munmorah NSW 2259"
"1862","Caltex Woolworths Unanderra","110-112 Princes Hwy, UNANDERRA NSW 2526"
"1863","BP Silverwater South","51 Egerton St, SILVERWATER NSW 2128"
"1867","Caltex Woolworths Tuggerah North","186 Pacific Highway, Tuggerah NSW 2259"
"1869","Caltex Woolworths Mount Druitt","North Parade (Mt Druitt Market Place), Mount Druitt NSW 2770"
"1872","Caltex Woolworths Berkshire Park","770 Richmond Road, Berkshire Park NSW 2765"
"1875","Caltex Woolworths Tuggerah","24-26 Gavenlock Road, Tuggerah NSW 2259"
"1876","Caltex Woolworths Silverwater","154 Silverwater Rd, SILVERWATER NSW 2128"
"1877","Caltex Woolworths Umina","337 West Street (Cnr Ocean Beach Road), Umina NSW 2257"
"1878","Caltex Woolworths Brookvale","756 Pittwater Rd (Cnr West St), Brookvale NSW 2100"
"1880","Caltex Gumly Gumly","Caltex 3723 Hwy, GUMLY GUMLY NSW 2652"
"1882","Caltex Woolworths Bankstown","1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196"
"1883","Caltex Woolworths Tweed Heads Sth","98-100 Minjungbal Drive (Pacific Hwy), Tweed Heads NSW 2486"
"1884","United Sutherland","1-3 East Parade, Sutherland NSW 2232"
"1890","Independent Hillvue","502 Goonoo Goonoo Rd, Hillvue NSW 2340"
"1902","Caltex Woolworths Merrylands","185 Pitt Street, MERRYLANDS NSW 2160"
"1904","Caltex Woolworths Marsfield","Cnr Epping & Balaclava Road, Marsfield NSW 2122"
"1905","Caltex Woolworths North Liverpool","67 Orange Grove Road, Liverpool NSW 2170"
"1906","Caltex Woolworths Chipping Norton","147 Newbridge Rd, CHIPPING NORTON NSW 2170"
"1907","Caltex Woolworths Salamander Bay","19 Bagnall Beach Road, SALAMANDER BAY NSW 2317"
"1908","Caltex Woolworths Lansvale","136 Hume Highway (cnr Hollywood Drive), Lansvale NSW 2166"
"1910","Caltex Woolworths Chatswood East","364-366 Eastern Valley Way, Chatswood East NSW 2067"
"1911","Caltex Woolworths Moama","2 Perricoota Rd, Moama NSW 2731"
"1912","Caltex Woolworths Lavington","370 Griffith Rd, Lavington NSW 2641"
"1913","Caltex Woolworths Albury","515 Young Street, Albury NSW 2640"
"1914","Speedway Croydon","418 Liverpool Road, Croydon NSW 2132"
"1916","Metro Marrickville","379 Enmore Road, Marrickville NSW 2204"
"1918","Metro Auburn","74-78 Auburn Road, Auburn NSW 2144"
"1921","Coles Express Marsfield","189 Epping Rd & Culloden Rd, Marsfield NSW 2122"
"1924","Independent Krambach","2/3728 Bucketts Way, Krambach NSW 2429"
"1925","Coles Express Greenacre","74 Roberts Road, Greenacre NSW 2190"
"1929","Coles Express Baulkham Hills","363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153"
"1930","7-Eleven Erina","214 The Entrance Road, Erina NSW 2250"
"1938","Caltex Woolworths Cowra","13 Railway Lane, Cowra NSW 2646"
"1939","Caltex Woolworths Young","Cnr Lovell & Thornhill Sts, Young NSW 2594"
"1940","Caltex Woolworths Cooma","Cnr Bombala & Massie Streets, Cooma NSW 2630"
"1941","Caltex Woolworths Forster","16 Breese Parade, Forster NSW 2428"
"1943","Caltex Woolworths Port Macquarie","1 Bay Street, Port Macquarie NSW 2444"
"1944","Caltex Woolworths Gunnedah","18-22 Tempest Street, Gunnedah NSW 2380"
"1945","Caltex Woolworths Wagga Central","17 Forsyth Street, Wagga Wagga NSW 2650"
